Pinnacle Properties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1200,Gravesend Neck Road,Brooklyn,11229,7397,85,1200 Gravesend Neck Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
125-10,Queens Blvd.,Queens,11367,3360,7501,Silver Towers Realty Co. LLC,Garage,14,,1958,Shares,Coop,Tal Sharon,,,,,,,,
1274-1280,Ocean Avenue,Brooklyn,11230,6694,72,1280 Realty NY LLC,,0,,1935,Building,Rental,Eddie Ljesnjanin,Zarasai,314,4,,,,,
1296,Pacific Street,Brooklyn,11216,1207,21,1296 Realty LLC,,0,,1928,Building,Rental,Ilir,Zarasai,308,8,,,,,
1360,Ocean Parkway,Brooklyn,11230,,33,1360 Ocean Parkway Owners Corp.,Garage,,,,Shares,Coop,Eddie Ljesnjanin,,,,,,,,
1362,Ocean Avenue,Brooklyn,11230,6703,73,1362 Ocean LLC,,,,1923,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,,,,
143,Linden Boulevard,Brooklyn,11226,5084,80,143 Realty NY LLC,,,,1935,Building,Rental,David Rose,Zarasai,317,7,,,,,
147-03,Northern Blvd,Queens,11354,5005,1,Flushing Realty NY LLC,,0,,1924,Building,Rental,Tal Sharon,,407,7,,,,,
147-07/11,72nd Road,Queens,11367,6679,6,Kew Gardens BAP LLC,,,,,Building,Rental,Paul Reich,,,,,,,,
150,West End Avenue.,Brooklyn,11235,,20,150 West End Ave. Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
1535,Ocean Avenue,Brooklyn,11230,7602,22,1535 Ocean LLC,,,,1925,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,,,,
155,Audubon Avenue,New York,10032,2129,37,Audubon Realty LLC,,,,1909,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
1554,Ocean Avenue,Brooklyn,11230,6721,70,1554 Ocean LLC,,,,1926,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,,,,
132-35,Sanford Avenue,Queens,11355,5040,7502,"THE INFINITY 8 CONDOMINIUM
",Garage,84,10000,1958,Building,Coop,Tal Sharon,Zarasai,407,7,,,,,
1597,Bedford Avenue,Brooklyn,11225,1281,5,1597 Realty LLC,,,,1905,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
1601,Bedford Avenue,Brooklyn,11225,1281,3,1601 Realty LLC,,,,1905,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
1617,President Street,Brooklyn,11213,1401,47,1617 Realty LLC,,0,,1928,Building,Rental,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
176,Clarkson Avenue,Brooklyn,11226,5065,40,176 Clarkson Ave LLC,,0,,1960,Building,Rental,Marc Bahorin,Zarasai,317,7,,,,,
1820,Cortelyou Road,Brooklyn,11226,5161,6,1820 Realty LLC,,0,,1928,Building,Rental,Ilir,Zarasai,314,4,,,,,
185,Audubon Avenue,New York,10033,2131,029,185-189 Audubon LLC,,,,1900,Building,Rental,Rasim Toskic,Pinnacle Gatsby LLC,112,2,,,,,
189,Audubon Avenue,New York,10033,2131,32,185-189 Audubon LLC,,,,1920,Building,Rental,Rasim Toskic,Pinnacle Gatsby LLC,112,2,,,,,
2,West End Avenue,Brooklyn,11201,,62,Two West End Ave.,Garage,,,1900,Shares,Coop,Abidin Radoncic,,,,,,,,
20,Pierrepont Street,Brooklyn,11201,,28,Brooklyn Heights Owners Corp.,,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
200,Corbin Pl.,Brooklyn,11235,,1001-4,200 Corbon Owners Corp.,Garage,,,1304,Shares,Coop,David Rose,,,,,,,,
2020,Kings Highway,Brooklyn,11229,,10,2020 Kings Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
2102,Beverly Road,Brooklyn,11226,5152,1,2102 Realty LLC,,,,1958,Building,Rental,Marc Bahorin,Zarasai,314,4,,,,,
2186,Grand Concourse,Bronx,10457,3157,20,2186 Realty NY LLC,,0,,1940,Building,Rental,David Radoncic,Pinnacle Gatsby LLC,205,5,,,,,
132-40,Sanford Ave,Queens,11355,5101,7506,The Summit at Infinity 8 Condominium,Garage,26,9400,1962,Building,Coop,Tal Sharon,Zarasai,407,7,,,,,
225,Parkside Avenue,Brooklyn,11226,5026,264,225 Parkside LLC,,0,,1923,Building,Rental,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
133-17,Sanford Ave,Queens,11355,5042,7505,The Dorado at Infinity 8 Condominium ,Garage,20,7225,1963,Building,Coop,Tal Sharon,Zarasai,407,7,,,,,
136-04,Cherry Ave,Queens,11355,5140,7501,"The Infinity 8 on Cherry Condominium
",Garage,15,4745,1959,Building,Coop,Tal Sharon,Zarasai,407,7,Zaim 646-872-5123,Assigned,Approved,,Initial Inspection done
233,East 77th Street,New York,10021,1432,013,233 Realty NY LLC,,0,,1910,Building,Rental,Elinor Arzt,Zarasai,108,8,,,,,
2340,Valentine Avenue,Bronx,10458,3146,23,2340 Valentine Avenue Realty Co. LLC,,,,1927,Building,Rental,David Radoncic,Zarasai,205,5,,,,,
237,West 18th Street,New York,10011,768,016,237 Realty NY LLC,,0,,1930,Building,Rental,Elinor Arzt,Zarasai,104,4,,,,,
24,Joralemon Street,Brooklyn,11201,258,17,Joralemon Realty NY LLC,,,,1900,Building,Rental,Eddie Lejesnjanin ,,302,2,,,,,
240,East 18th St,Brooklyn,11215,5121,26,18 Street Realty Co. LLC,,,,1940,Building,Rental,David Rose,Zarasai,314,4,,,,,
142-20,Franklin Ave,Queens,11355,5182,7502,Infinity 8 on Franklin,Lot & Garage,138,,1970,Building,Coop,Tal Sharon,Zarasai,407,7,646-285-7552,Not assigned,Approved,Approved,
241,West 13th Street,New York,10017,618,60,241 Realty Co. LLC,,0,,1900,Building,Rental,Elinor Arzt,Zarasai,102,2,,,,,
241-251,Sherman Avenue,New York,10034,2223,5,241 Sherman LLC,,0,,1927,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
156-08,Riverside Drive West,New York,10031,2134,7504,The John James Condominium ,Garage,90,42000,1920,Building,Coop,Abidin Radoncic,Zarasai,112,2,,,,,
222,Lenox Road,Brooklyn,11226,5085,27,222 Lenox Rd LLC,Garage,30,,1962,Building,Rental,Eddie Lejesnjanin ,Zarasai,317,7,,Not Assigned,Approved,Approved,Inspection to be scheduled
2475,East 11th Street,Brooklyn,11235,,1002,2475 East 11 Th. St. Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
25-35,Hillside Avenue,New York,10040,2170,112,25-35 Hillside Associates LLC,,,,1920,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
250,Henry Street,Brooklyn,11201,,39,250 Henry St. Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
25-10,30th Road,Queens,11415,577,23,30 Road Realty Co. LLC,,0,,1936,Building,Rental,Tal Sharon,Zarasai,401,1,,,,,
2513,Newkirk Avenue,Brooklyn,11226,5212,19,2513 Newkirk LLC,,0,,1931,Building,Rental,Eddie Lejesnjanin ,Zarasai,317,7,,,,,
25,Cumming Street,New York,10034,2237,23,25 Cumming Realty LLC,,,,1930,Building,Rental,David Radoncic,Zarasai,112,2,,,,,
260,Ocean Parkway,Brooklyn,11218,,2,260 Ocean Tenants Corp,,,,,Shares,Coop,David Rose,,,,,,,,
27,West 47th Street,New York,10036,1263,56,Plaza Arcade Realty Co.,,,,1924,Building,Rental,Rasim Toskic,,105,5,,,,,
28-30,Argyle Road,Brooklyn,11218,5073,14,28-30 Argyle LLC,,,,1931,Building,Rental,David Rose,Zarasai,314,4,,,,,
2280,Olinville Avenue,Bronx,10467,4342,10,Olinville Realty II LLC,Lot,72,,1963,Building,Rental,David Radoncic,Zarasai,211,1,,,,,
281-295,Wadsworth Avenue,New York,10040,2168,1,281/295 Wadsworth Associates LLC,,,,1924,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
286,Corbin Pl.,Brooklyn,11235,,279,286 Corbin Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
292,Saint Johns Place,Brooklyn,11238,1172,25,292 St. Johns LLC,,,,1925,Building,Rental,David Rose,Zarasai,308,8,,,,,
2,West 120 St,New York,10027,1718,37,2 West 120th Street Realty Co. LLC,,0,,1917,Building,Rental,Elinor Arzt,,110,0,,,,,
307,12th Street,Brooklyn,11215,1023,69,307 12 St LLC,,,,1912,Building,Rental,Marc Bahorin,Zarasai,306,6,,,,,
308,West 30 Street,New York,10001,753,7502,The Irvin Condominium ,,,,1925,Building,Rental,Elinor Arzt,Zarasai,104,4,,,,,
30,Columbia Pl,Brooklyn,11201,258,17,Joralemon Realty NY LLC,,,,1900,Building,Rental,Eddie Lejesnjanin ,Zarasai,302,2,,,,,
310,Lexington Avenue,New York,10016,,20,310 Lexington Owners Corp.,Garage,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
3111,Brighton 1st Pl.,Brooklyn,11235,,80,3111 Brighton First Owners Corp,,,,,Shares,Coop,David Rose,,,,,,,,
314,Clinton Avenue,Brooklyn,11205,1929,35,Clinton Property LLC,,,,1905,Building,Rental,Marc Bahorin,,302,2,,,,,
3155,Rochambeau Avenue,Bronx,10467,3335,5,3155 Realty NY LLC,,,,1927,Building,Rental,David Radoncic,Zarasai,207,7,,,,,
3165,Nostrand Avenue,Brooklyn,11229,,64,3165 Realty Co. LLC,,,,,Shares,Coop,Marc Bahorin,Zarasai,,,,,,,
3202,Nostrand Avenue,Brooklyn,11229,6835,26,3202 Owners Corp.,Garage,,,1959,"Building
Shares",Coop,Marc Bahorin,Zarasai,315,5,,,,,
3255,Randall Avenue,Bronx,10465,,48,3255 Randall Ave. Owners Corp.,Lot & Garage,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
32-86,33rd Street,Queens,11106,7501,69,The Astoria 33 Condominium,,,,1930,Building,Coop,Tal Sharon,Zarasai,401,1,,,,,
33,Greenwich Avenue,New York,10014,,65,33 Greenwich Owners Corp.,Yes,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
330,East 19th Street,Brooklyn,11226,5161,14,330 Realty NY LLC,,0,,1958,Building,Rental,Marc Bahorin,Zarasai,314,4,,,,,
3301,Farragut Road,Brooklyn,11210,4997,6,3301 Farragut LLC,,,,1925,Building,Rental,David Rose,Zarasai,317,7,,,,,
333,East 75th Street,New York,10021,,1002,333 East 75 Th. St. Owners Corp.,Garage,25,,,Shares,Coop,Elinor Arzt,,,,,,,,
34,Seaman Avenue,New York,10034,2247,29,34 Seaman Associates LLC,,,,1925,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
340,East 74th Street,New York,10021,,1002,340 East 74 Th. St. Owners Corp.,Garage,,,,Shares,Coop,Elinor Arzt,,,,,,,,
3410,Kingsbridge Avenue,Bronx,10463,5760,100,3410 Kingsbridge LLC,,,,1927,Building,Rental,David Radoncic,Zarasai,208,8,,,,,
2300,Olinville Avenue,Bronx,10467,4342,10,Olinville Realty II LLC,Lot,107,,1965,Building,Rental,David Radoncic,Zarasai,211,1,,,,,
2400,Nostrand Ave,Brooklyn,11210,7611,54,2400 Realty NY LLC,Garage,34,,1955,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,Assigned,Approved,Approved,Inspection to be scheduled
349,East 51st Street,New York,10022,1344,021,349 Realty NY LLC,,0,,1901,Building,Rental,Elinor Arzt,Zarasai,106,6,,,,,
35-19,147th Street,Queens,11354,5005,6,147 Realty Co. LLC,,,,1924,Building,Rental,Tal Sharon,Zarasai,407,7,,,,,
3626,Kings Highway,Brooklyn,11234,7654,14,3626 Kings Highway Owners Corp.,,,,,Shares,Coop,Edward Suazo,Zarasai,,,,,,,
3636,Fieldston Road,Bronx,10463,,1002,3636 Fieldston Owners Corp.,Lot,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
3647,Broadway,New York,10031,2097,27,3647 Realty Co.  LLC,,,,1917,Building,Rental,Rasim Toskic,Zarasai,109,9,,,,,
3657,Broadway,New York,10031,2097,34,3657 Realty Co.  LLC,,,,1917,Building,Rental,Rasim Toskic,Zarasai,109,9,,,,,
382-90,Eastern Parkway,Brooklyn,11225,1266,7502,"382-390 EASTERN PARKWAY CONDO
",,,,1925,"Building
Shares",Coop,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
40-05,Ithaca Street,Queens,11373,1505,1,40-05 Ithaca Owners Corp.,,,,1941,"Building
Shares",Coop,Tal Sharon,,404,4,,,,,
244,Fieldstone Terrace,Bronx,10471,5827,1620,Fieldstone NY LLC,Lot,36,,1961,Building,Rental,David Radoncic,Zarasai,208,8,,,,,
402,Bay Ridge Parkway,Brooklyn,11209,,6,402 Bay Ridge Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
2440,Olinville Ave,Bronx,10467,4426,17,Olinville Realty II LLC,Lot,59,,1963,Building,Rental,David Radoncic,Zarasai,211,1,,,,,
402,West 148th Street,New York,10031,2062,37,402-412 West 148 LLC,,,,1907,Building,Rental,Rasim Toskic,Zarasai,109,9,,,,,
2800,Heath Avenue,Bronx,10463,3256,53,Heath Realty LLC,Garage,15,,1962,Building,Rental,David Radoncic,Zarasai,208,8,,,,,
3202,Nostrand Ave,Brooklyn,11229,6835,26,3202 Owners Corp.,Garage,31,6500,1959,Building,Coop,Marc Bahorin,,315,5,Rasim 646-773-1755,Issued,Approved,,Initial Inspection done
330,East 19 st,Brooklyn ,11226,5161,14,330 Realty NY LLC,Garage,7,,1958,Building,Rental,Marc Bahorin,,314,4,,Not assigned,Approved,Approved,Inspection to be scheduled
3424,Kingsbridge Avenue,Bronx,10463,5760,112,Kingsbridge Realty Associates LLC,Lot,74,,1962,Building,Rental,David Radoncic,Zarasai,208,8,,,,,
40-46,Argyle Road,Brooklyn,11218,5073,19,28-30 Argyle LLC,,,,1931,Building,Rental,David Rose,Zarasai,314,4,,,,,
3425,Kingsbridge Aveenue,Bronx,10463,5761,444,Kingsbridge Realty II LLC,Lot,23,,1964,Building,Rental,David Radoncic,Zarasai,208,8,,,,,
40-66,Ithaca Street,Queens,11373,1506,47,40-66 Ithaca Owners Corp.,,,,1940,"Building
Shares",Coop,Tal Sharon,"
",404,4,,,,,
412,West 148th Street,New York,10031,2062,41,412-420 West 148 LLC,,,,1907,Building,Rental,Rasim Toskic,Zarasai,109,9,,,,,
416,East 17th Street,Brooklyn,11226,5159,27,17 Realty LLC,,0,,1925,Building,Rental,Marc Bahorin,Zarasai,314,4,,,,,
422,East 17th Street,Brooklyn,11226,5159,30,17 Realty LLC,,,,1925,Building,Rental,Marc Bahorin,Zarasai,314,4,,,,,
426,East 22nd Street,Brooklyn,11226,5185,16,426 East 22 St LLC,,0,,1931,Building,Rental,Marc Bahorin,Zarasai,314,4,,,,,
40-15,Hampton Street,Queens,11373,1504,80,40-15 Hampton LLC,Lot,6,,1939,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
40-25,Hampton Street,Queens,11373,1504,74,40-25 Hampton LLC,Lot,6,,1939,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
4530,Broadway,New York,10040,2170,96,Broadway Realty 1 Co. LLC,,,,1920,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
45-35,44th Street,Queens,11104,166,6,45-35 Realty LLC,,0,,1931,Building,Rental,Tal Sharon,Pinnacle Queens LLC,402,2,,,,,
457,Schenectady Avenue,Brooklyn,11203,4588,1,457 Schenectady LLC,,0,,1928,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
4601,Henry Hudson Parkway,Bronx,10471,,1102,4601 Owners Corp.,TBD,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
40-35,Hampton Street,Queens,11373,1504,68,40-35 Hampton LLC,Lot,6,,1939,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
481,Eastern Parkway,Brooklyn,11216,1261,51,481 Eastern LLC,,,,1920,Building,Rental,Ilir,Zarasai,308,8,,,,,
487,Eastern Parkway,Brooklyn,11216,1261,48,481 Eastern LLC,,,,1920,Building Combined,Rental,Ilir,Zarasai,308,8,,,,,
497,Eastern Parkway,Brooklyn,11216,1261,45,481 Eastern LLC,,,,1920,Building,Rental,Ilir,Zarasai,308,8,,,,,
50,Shore Blvd.,Brooklyn,11230,,55,50 Shore Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
509,West 155th Street,New York,10032,2114,52,509 Realty Co LLC,,,,1922,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
511,West 232nd  Street,Bronx,10463,,300,511 West 232 nd. St. Owners Corp,TBD,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
516,West 143rd Street,New York,10021,2074,049,516 Realty NY LLC,,,,1920,Building,Rental,Rasim Toskic,Pinnacle Gatsby LLC,109,9,,,,,
527,West 157th Street,New York,10032,2116,052,527 Realty NY LLC,,0,,1925,Building,Rental,Elinor Arzt,Pinnacle Gatsby LLC,112,2,,,,,
529,East 22nd Street,Brooklyn,11226,5208,52,529 East 22 LLC,,,,1934,Building,Rental,David Rose,Pinnacle Holding XXXV,314,4,,,,,
53,Vermilyea Avenue,New York,10034,2225,1,53-57 Vermilyea Realty LLC,,,,1925,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
5355,Henry Hudson Parkway,Bronx,10471,,52,5355 Henry Hudson Owners Corp.,Lot & Garage,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
536,Isham Street,New York,10034,2227,15,536 Realty Co. LLC,,0,,1926,Building,Rental,David Radoncic,,112,2,,,,,
544,West 50th Street,New York,10019,1078,55,West 50th St. Realty Co. LLC,,,,1901,Building,Rental,Elinor Arzt,Zarasai,104,4,,,,,
546,West 50th Street,New York,10019,1078,56,West 50th St. Realty Co. LLC,,,,1901,Building,Rental,Elinor Arzt,Zarasai,104,4,,,,,
548,West 50th Street,New York,10019,1078,57,West 50th St. Realty Co. LLC,,,,1901,Building,Rental,Elinor Arzt,Zarasai,104,4,,,,,
565,West 175th. Street,New York,10033,2133,26,175 Realty LLC,,,,,Building,Rental,Rasim Toskic,Pinnacle Washington Height LLC,,,,,,,
57,Vermilyea Avenue,New York,10034,2225,3,53-57 Vermilyea Realty LLC,,0,,1930,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
571,West 175th. Street,New York,10033,2133,28,175 Realty LLC,,,,,Building,Rental,Rasim Toskic,Pinnacle Washington Height LLC,,,,,,,
57/67,Avenue. O,Brooklyn,11204,,43,57/79 Ave. O Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
601,Crown Street,Brooklyn,11213,1412,7502,The 601 Condominium ,,,,1922,Building,Coop,Marc Bahorin,Zarasai,309,9,,,,,
607,Rugby Road,Brooklyn,11230,5235,49,607 Rugby LLC,,,,1931,Building,Rental,Ilir,Zarasai,314,4,,,,,
610,Riverside Drive,New York,10031,2087,15,610 Realty Associates LLC,,,,1909,Building,Rental,Abidin Radoncic,,109,9,,,,,
610,West 143rd Street,New York,10031,2089,41,Parkside Realty Group LLC,,,,1930,Building,Rental,Rasim Toskic,,109,9,,,,,
611,Banner Avenue,Brooklyn,11235,,1002,611 Banner Owners Corp.,Garage,,,,Shares,Coop,David Rose,,,,,,,,
615,Rugby Road,Brooklyn,11230,5235,46,607 Rugby LLC,,,,1931,Building,Rental,Ilir,Zarasai,314,4,,,,,
619,Rugby Road,Brooklyn,11230,5235,40,607 Rugby LLC,,,,1931,Building,Rental,Ilir,Zarasai,314,4,,,,,
625,Rugby Road,Brooklyn,11230,5235,40,607 Rugby Road,,,,1931,Building,Rental,Ilir ,Zarasai,314,4,,,,,
40-45,Hampton Street,Queens,11373,1504,62,40-45 Hampton LLC,Lot,6,,1939,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
639,West 207th Street,New York,10034,2242,29,207 Realty LLC,,0,,1925,Building,Rental,David Radoncic,Zarasai,112,2,,,,,
405,East 16th Street,Brooklyn,11226,5159,53,405 Realty LLC,Garage,13,,1959,Building,Rental,David Rose,Zarasai,314,4,,Not assigned,Approved,Approved,
65,Montague Street,Brooklyn,11201,,8,Brooklyn Hights Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
660,Riverside Drive,New York,10031,2090,7501,The 660 Riverside Condominium,,0,,1908,"Building
Shares",Coop,Abidin Radoncic,Zarasai,109,9,,,,,
666,East 233rd Street,Bronx,10466,4835,70,666 East 233 LLC,,,,,Building,Rental,David Radoncic,,,,,,,,
668,Riverside Drive,New York,10031,2090,7502,The 668 Riverside Condominium,,0,,1907,Building,Coop,Abidin Radoncic,Zarasai,109,9,,,,,
671,West 193rd St,New York,10040,2170,560,193 Street Realty Co. LLC,,0,,1928,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
680,Riverside Drive,New York,10031,2092,7501,The 680 Riverside Condominium,,0,,1926,"Building
Shares",Coop,Abidin Radoncic,Zarasai,109,9,,,,,
681,Ocean Avenue,Brooklyn,11226,5124,26,681 Ocean LLC,,,,1923,Building,Rental,Eddie Lejesnjanin ,Zarasai,314,4,,,,,
4360,Baychester Avenue,Bronx,10466,5057,27,4360 Baychester LLC,Lot & Garage,12,,1964,Building,Rental,David Radoncic,Zarasai,212,2,,,,,
690,Riverside Drive,New York,10031,2093,7501,The 690 Riverside Condominium,,0,,1920,"Building
Shares",Coop,Abidin Radoncic,Zarasai,109,9,,,,,
69/79,Avenue O,Brooklyn,11204,,48,57/79 Ave. O Owners Corp.,,,,,Shares,Coop,Eddie Lejesnjanin ,,,,,,,,
700,Riverside Drive,New York,10031,2094,7502,The 700 Riverside Condominium,,0,,1920,"Building
Shares",Coop,Abidin Radoncic,Zarasai,109,9,,,,,
706,Lefferts Avenue,Brooklyn,11203,1428,32,706 Realty NY LLC,,0,,1928,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
7209,41st Avenue,Queens,11377,1304,71,72-15 Realty Co. LLC,,,,1928,Building,Rental,Tal Sharon,Zarasai,404,4,,,,,
725,Riverside Drive,New York,10031,2906,7501,The 725 Riverside Condominium,,0,,1912,Shares,Coop,Abidin Radoncic,Zarasai,,,,,,,
750,Riverside Drive,New York,10031,2099,7501,The 750 Riverside Condominium,,,,1921,Building,Coop,Abidin Radoncic,Zarasai,109,9,,,,,
76-09,34th Avenue,Queens,11372,1249,33,34 Avenue Realty Co. LLC,,,,1936,Building,Rental,Tal Sharon,Zarasai,403,3,,,,,
441,Convent Avenue,New York,10031,2064,7502,The Convent Gardens Condominium ,Garage,38,,1951,Building,Coop,Rasim Toskic,Zarasai,109,9,Jose 646-523-1015,Not assigned,Approved,,
7-9,East 32nd Street,New York,10016,862,9,7-9 E 32 LLC,,0,,1914,Building,Rental,Abidin Radoncic,,105,5,,,,,
801,Riverside Drive,New York,10031,2134,7501,The 801 Riverside Condominium,,0,,1920,Shares,Coop,Abidin Radoncic,Zarasai,,,,,,,
807,Riverside Drive,New York,10031,2134,161,The 807 Riverside Condominium,,0,,1900,Shares,Coop,Abidin Radoncic,Zarasai,,,,,,,
81,Seaman Avenue,New York,10034,2239,9,81 Seaman Realty LLC,,0,,1930,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
812,Riverside Drive,New York,10031,2136,7501,The 812 Riverside Condominium,,0,,1920,"Building
Shares",Coop,Abidin Radoncic,Zarasai,112,2,,,,,
470,Ocean Avenue,Brooklyn,11226,5080,24,470 Realty NY LLC,Garage,48,,1949,Building,Rental,Ilir,Zarasai,314,4,,,,,
835,Riverside Drive,New York,10031,2135,7501,The 835 Riverside Condominium,,,,1920,"Building
Shares",Coop,Abidin Radoncic,Zarasai,112,2,,,,,
84-49,Elmhurst Avenue,Queens,11373,1518,60,84-49 Elmhurst LLC,,0,,1940,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
85,8th Avenue,New York,10011,,7501,Manhattan Realty Co. LLC,Garage,,,,Shares,Coop,Abidin Radoncic,,,,,,,,
63-70/74,Austin Street,Queens,11374,3104,23,63-94 Austin Realty Co. LLC,Garage,18,,1950,Building,Rental,Tal Sharon,Zarasai,406,6,,Issued,Approved,,"Inspection done, Initial observation to be submitted"
